Where	Sub	Type	method	Text	Translation	File Directory	File Name	size	sha256	Reworked by	Contributors	Attribution	Comments	max_length
			ignore			\Items\Attachments\Micro\Files	Icon_Micro.png	6257	e1b550eca6d65713c44677b909335e1a7c4dcd3a85c496b55e513db95416fdab					
			ignore			\Items\Attachments\Micro\Files	TX_Micro_AL.png	569356	8ffeb693941482238f168d29edb46e5f87bb84537fa92c7ebdd0c0d48b360b9f					
			ignore			\Items\Attachments\Micro\Files	TX_Micro_Mount_High_AL.png	586961	dfd4261ad0615e8ca9cc0ff254af11b55545acd25d0f90f0d0f3cccf140fc589					
			ignore			\Items\Attachments\Micro\Files	TX_Micro_Mount_High_NR.png	284999	69d8d461d8b6d67d073b580fa62f5c8cda23eccc296b41f96cc35d0b5f7d26cf					
			ignore			\Items\Attachments\Micro\Files	TX_Micro_Mount_Low_AL.png	623107	3fdaae55a7f26c4c731bde31f7c6c3fd9fe3dbbe9b6dc43e5a692e8d81f1500c					
			ignore			\Items\Attachments\Micro\Files	TX_Micro_Mount_Low_NR.png	289296	1e0b3cac75ee9341cd2931db5b2ef06507abac78d6ca936d09493e2662d4ed6c					
			ignore			\Items\Attachments\Micro\Files	TX_Micro_NR.png	1252060	30f9e2f22da711a6f38b2f0d2b800bc4c6b9874368b8e9474443c95d9049bc9a					
			ignore			\Items\Attachments\Monster\Files	Icon_Monster.png	7447	880cf420125e8f3df10ddcfcc48ad68404167ab1341ec958faab1cae894c77a8					
			ignore			\Items\Attachments\Monster\Files	TX_Monster_AL.png	250250	1800735ad4df6d4be1e2ac1e5ee8cfda348d0df8ff275f0378e90dfa55219666					
			ignore			\Items\Attachments\Monster\Files	TX_Monster_NR.png	275071	58ebd1b5220aea537439f3fe2a8bc93d0af97d2a47f0e0c7f2ce634eb4fc23df					
			ignore			\Items\Attachments\Navy\Files	Icon_Navy.png	6900	a1da3ec9dbf4583cc8563565ec47793d7264a28fe903074126f17882d76f8b4e					
			ignore			\Items\Attachments\Navy\Files	TX_Navy_AL.png	210399	5cc2ea5f6775a5cdb9828eb5cf17cc22c1f0e9e5232f81b60a7463bed60778e3					
			ignore			\Items\Attachments\Navy\Files	TX_Navy_NR.png	99345	ac1986e320940613ff740dba1ab3e03bc730720bc862f39347269d12553072e0					
			ignore			\Items\Attachments\OZ5\Files	Icon_OZ5.png	11926	6f01ad9d3da001a99400d03bb80e89596624d327ac64d711b3e49bf26e9d12f9					
			ignore			\Items\Attachments\OZ5\Files	TX_OZ5_AL.png	628145	24dd22725b992f756bbbfbfa47f266e4ead3e8564f37c7a101396154796f4ed5					
			ignore			\Items\Attachments\OZ5\Files	TX_OZ5_NR.png	204853	e8feaaf4e5031a4e08512e44ba896da57ba8362bf234769b85f71c90b04ac50a					
			ignore			\Items\Attachments\PBS\Files	Icon_PBS.png	11299	6e51b51ff99846f370fc63620e04dd4abfa6029517583de51e40b58ab4e468b2					
			ignore			\Items\Attachments\PBS\Files	TX_PBS_AL.png	232183	299b58ec24df9628f60ff7c563f17d5ecc54f460dbd1a9ea795600e7ee567177					
			ignore			\Items\Attachments\PBS\Files	TX_PBS_NR.png	270525	f032dfe84ddc043820164e99670103a93036ade55998f35118b75746367cad73					
